	text_A	label
1	When I was involved in a traffic accident.	fear
3	When I lost the person who meant the most to me. 	sadness
4	The time I knocked a deer down - the sight of the animal's á injuries and helplessness.  The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.	disgust
5	When I did not speak the truth.	shame
7	When I got a letter offering me the Summer job that I had applied á for.  	joy
9	When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.	anger
11	When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.	disgust
12	When I could not remember what to say about a presentation task á at an accounts meeting.	shame
13	When my uncle and my neighbour came home under police escort.	guilt
15	Every time I imagine that someone I love or I could contact a á serious illness, even death.	fear
16	When I had been obviously unjustly treated and had no possibility á of elucidating this.	anger
18	At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.	disgust
21	After my girlfriend had taken her exam we went to her parent's á place.	joy
22	When, for the first time I realized the meaning of death.	fear
24	When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.	sadness
25	When I found a bristle in the liver paste tube.	disgust
26	When I was tired and unmotivated, I shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.	shame
27	When I think that I do not study enough.  After the weekend I á think that I should have been able to have accomplished á something during that time.	guilt
28	When I pass an examination which I did not think I did well.	joy
29	When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.	fear
30	When one is unjustly accused of something one has not done.	anger
32	When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.	disgust
33	When one has been unjust, stupid towards someone else. 	shame
34	When one has neglected or been unjust to a good friend.	guilt
35	Passing an exam I did not expect to pass.	joy
36	When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.	fear
38	[ Same as in anger.]	sadness
39	Friends who torture animals.	disgust
40	[ Same as above - friends who torture animals.]	shame
43	When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.	fear
46	When I nearly walked on a blindworm and then saw it crawl away.	disgust
47	When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.	shame
51	Unjust accusations directed at me and my way of acting, by á someone close to me.  	anger
52	Failing an examination.	sadness
54	When, as an adult I have been caught lying or behaving badly.	shame
55	When I am in an environment or with a person much worse off than á me, I realize how privileged I am.	guilt
57	When, as a child, I was nearly knocked down by a car.	fear
59	When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.	sadness
62	When one lets friends down	guilt
66	When I was not accepted as a student in finance and accounting.	sadness
68	My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.	shame
70	Passed an exam by 2 points.	joy
71	In a cottage in a large forest, I was alone for a while in the á dark.	fear
72	When I spoke to Jan-Erik Wikstr÷m on the telephone. 	anger
74	I saw a cripple in rags with small children in Italy.  He was á probably an imposter.	disgust
75	I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.	shame
76	I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.	guilt
77	I passed an exam that I was absolutely certain that I had failed.	joy
78	On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.	fear
81	I found some worms in the food and I had obviously eaten some.	disgust
83	I hapened to overhear something which I was not meant to hear.	guilt
85	When I am out in the dark and a suspicious looking character á comes towards me.	fear
86	At work, when an elderly man complained unjustifiably about me and á distrusted me.	anger
89	When my friend and I were discussing the good looks of a guy we á realized that he had been listening.	shame
90	When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.	guilt
92	On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.	fear
97	I do not help out enough at home.	guilt
99	When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.	fear
102	It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.	disgust
103	When I dropped a bottle in the state liquor store and everyboby á started laughing.	shame
104	When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.	guilt
108	Marriage crises.  Boredom.	sadness
109	When someone makes advances that one does not want.	disgust
110	The discovery that one has only thought of oneself.	shame
111	When I spanked a child in anger and later regretted it terribly.	guilt
114	When my boyfriend went away for a month long holiday without me.	anger
115	Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.	sadness
116	When a dog is left whining outside a shop.	disgust
117	When I promised to help a friend over a weekend and did not keep á the promise.	shame
118	When I realized that I had three more examinations to take.	guilt
119	The day I was told that I had been accepted as a student of á economics.	joy
120	While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.	fear
122	At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.	sadness
123	While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.	disgust
124	When my boyfriend revealed that he knew that I had discovered á things of an important nature about him, I felt ashamed as I had á not mentioned it earlier.	shame
125	When I am dishonest to a friend to whom I am very close.  I á feel guilty because I know that he gives a different version of á the truth and I have not corrected these mistakes, and he is á aware that I know that they are wrong.	guilt
126	When I found out that I had passed the last two exams by a á margin of three marks.	joy
127	When my father was ill and was waiting for the results of his tests.	fear
128	When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.	anger
129	When I failed an exam.	sadness
133	When I gave birth to my son and saw that he was alive and that I á had managed it well.  He was born a month too early with a á malfunctioning lung.  This happened a year ago.	joy
134	When I found out that my father had lung cancer and they did not á know how long he would live.	fear
137	When I was weeding the garden I found a lizard in my hand.	disgust
138	When I met a friend whom I had not seen for a long time and á heard all about her troubles, I thought that I should have got á in touch with her earlier.	shame
139	I got angry at my mother for something trivial.  We were in a á bad mood because my father was very ill and I knew that my mother á really needed support.  I had reacted wrongly.	guilt
140	New year's eve 1983/1984, I met my girlfriend.  We stood on the á steps outside her parents home and I kissed her for the á first time.	joy
141	When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.	fear
142	The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.	anger
143	A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.	sadness
144	When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.	disgust
147	When I got the loan for my studies.	joy
149	On the T.V I saw a news feature on South Africa.  A policeman      á attacked a group of black people with a whip.	anger
150	The thought of having to read a boring book of 400 pages in á English.	sadness
151	Grovelling people.	disgust
153	I experience feelings of guilt because I do not study enough.	guilt
154	Observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.	disgust
155	I guess I have often been ashamed after having talked badly of á other people.	shame
158	When my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.	fear
160	When my boyfriend openly let me down, preferring another girl.	sadness
161	I felt some disgust for my boyfriend for a time, after he had á left me.	disgust
162	Can't think of any.	shame
165	I wandered by mistake into the safety zone of a shooting range, á and was shot at.	fear
166	Being treated unfairly.	anger
170	Little contact with my father before he died.	guilt
171	When I was accepted as a student at the college, not having á thought it possible.	joy
172	When I was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.	fear
174	When my grandmother died.	sadness
175	Not applicable.	disgust
178	I went to a lecture and once again it had been cancelled, this á was the second time.  One had a negative attitude towards the á lecturer.á 	anger
180	In the tram there was a fat, sickly looking woman in front of me á who was asking for directions in a thick voice.  When she got up to á go a disgusting smell of urine came from her.  I felt that I á would choke.	disgust
181	When we were at home, my husband and I, he made a remark about á something I had done, in a perfectly friendly manner.  My deed á had been unjust and I knew that my husband was right, therefore my á sense of shame.	shame
182	I made a remark to my sister concerning her attitude to men, the á way she talked and I compared her to an acquaintance of mine.  á Later, the same evening, my sister looked sad.  I felt guilty á about her sadness.	guilt
